ID,名字,技能ID列表,组合技能ID,模型ID,品质,职业,种族,性别,描述,基础战力,成长系数,荣誉碎片,觉醒次数上限,神殿出现概率权重,神殿兑换该英雄的花费,招募权重,怪物副本用到,获奖感言
10203,达罗斯米亚,10203,20015,2203,2,法师,元素生物,虚无,米亚家族的次子能够操控永恒激流之息，是激流之界的王者,242,10.19,50,5,20,100,17;50;70;90;8300;462;0,,永恒激流之息听从我的召唤。
10204,洛基,10204,20016,2204,2,幻术师,永恒,男,他生于黑暗却在光明世界长大，擅用幻术和阴谋。,135,10.68,50,5,20,100,17;50;70;90;8300;462;0,,好，我们永远都在这里。
10205,土方十四郎,10205,,2205,2,真选组,人类,男,童年时他到处流浪，后加入真选组，外形冷酷，很受女性喜爱。,182,10.78,50,5,20,100,17;50;70;90;8300;462;0,,我只是，想让我心爱的女人得到幸福而已。
10206,梅林,10206,20017,2206,2,贤者,半精灵,男,一位修女和精灵所生的子嗣，拥有强大的魔力。能够与动物交谈。,290,10.78,50,5,20,100,17;50;70;90;8300;462;0,,I do this because of who you are.
10207,美狄亚,10207,,2207,2,法师,精灵,女,为了所爱之人，抛弃了自己的国家和家庭，却又被所爱之人抛弃。她只属于永远的怨恨和无尽复仇。,222,10.98,50,5,20,100,17;50;70;90;8300;462;0,,复仇……
10208,破甲者比亚,10208,,2208,2,战士,半魔族,男,宙斯的私生子，被抛弃后成为了半魔人。,215,11.08,50,5,20,100,17;50;70;90;8300;462;0,,谁也无法阻挡我的冲锋。
10209,托比·托普兰,10209,,2209,2,勇者,熊族,男,勇者有两种，拯救世界的勇者和拯救凡人的勇者，KUMA。,213,11.08,50,5,20,100,17;50;70;90;8300;462;0,,我已经准备好了~KUMA
10210,历来米亚,10210,20015,2210,2,战士,元素生物,虚无,米亚家族的长子能够操控永恒火焰之息，是火焰之界的王者。,222,11.17,50,5,20,100,17;50;70;90;8300;462;0,,小心，永恒火焰之息可不是闹着玩的。
10211,大乔,10211,20018,2211,2,舞者,人类,女,大乔有倾国之色，顾盼生姿，明艳照人，堪称绝代佳丽。,204,11.27,50,5,20,100,17;50;70;90;8300;462;0,,你累了，请休息吧。
10212,蕾见不二子,10212,,2212,2,超能力者,人类,女,「巴贝尔」（B.A.B.E.L.）即超能力支援研究所的创办人之一，是「巴贝尔」的「影子首领」，拥有最高指挥权的管理官。,193,11.27,50,5,20,100,17;50;70;90;8300;462;0,,打扰我睡眠的人将受到诅咒。
10213,沐丝,10213,,2213,2,武道家,人类,男,女杰族的男性，擅长使用暗器的高手，掉入咒泉乡的“鸭子溺泉”，遇冷水变鸭子。,193,11.27,50,5,20,100,17;50;70;90;8300;462;0,,乱马倒是个不错的对手。
10214,九能带刀,10214,,2214,2,武道家,人类,男,风林馆高校剑道部的主将，自称“风林馆高校的苍雷”。,193,11.27,50,5,20,100,17;50;70;90;8300;462;0,,我是风林馆高校的苍雷。
10215,天道茜,10215,20021,2215,2,武道家,人类,女,16岁，被许配给乱马。成绩优良、运动万能、在烹调与手工艺方面的素养却令人实在不敢恭维。,203,11.27,50,5,20,100,17;50;70;90;8300;462;0,,你需要帮助吗？
10216,乱马·女,10216,,2216,2,武道家,人类,女,因为掉入咒泉乡的“娘溺泉”，变成了“遇到冷水就会变成女孩、遇到热水就会变回男孩”的体质,213,11.27,50,5,20,100,17;50;70;90;8300;462;0,,人还是应该活得明朗、正直才对。
10217,迪卢木多,10217,,2217,2,骑士,人类,男,费奥纳骑士团的首席勇士，刀法过人，注重骑士道，是以个人名誉而战斗的男人。,174,11.27,50,5,20,100,17;50;70;90;8300;462;0,,这次，一定要将忠诚之路走到底。
10218,爵士凯,10218,20020,2218,2,骑士,人类,男,圆桌骑士团的成员，一位正直的骑士，只是有点管不住自己的嘴巴。,193,11.27,50,5,20,100,17;50;70;90;8300;462;0,,落魄的爵士，也比珠光宝气的暴发户更像贵族。
10219,范海辛,10219,,2219,2,猎魔人,人类,男,用勇气和智慧对抗着以太潮汐带来的世界范围内的魔化。,193,11.27,50,5,20,100,17;50;70;90;8300;462;0,,我们必须净化以太潮。
10220,持镰执行者,10220,,2220,2,执行者,魔族,虚无,魔界法律的执行者，虽然根本没有魔族在意那玩意，但它确实存在。,184,11.27,50,5,20,100,17;50;70;90;8300;462;0,,死亡……降临！
10221,兰斯洛特,10221,20020,2221,3,骑士,人类,男,圆桌骑士团中最著名的骑士，曾经以一人之力斩杀了上千只魔化人。被称为“骑士之花”。,357,12.9,250,5,10,500,3;7;10;15;3000;107;500,,越是悲伤时越是要用微笑去面对。
10222,响良牙,10222,20021,2222,3,武道家,人类,男,为了与乱马决斗而跟踪至中国，却不慎掉入咒泉乡的“黑猪溺泉”，遇冷水变成小黑猪，遇热水变回来。,254,12.9,250,5,10,500,3;7;10;15;3000;107;500,,我讨厌冷水！
10223,花和尚鲁智深,10223,,2223,3,狂战士,人类,男,为了逃避官府的通缉而出家，是个武功卓越，力拔千钧的“和尚”。,257,12.9,250,5,10,500,3;7;10;15;3000;107;500,,哥哥，洒家来助你一臂之力。
10224,郭嘉,10224,,2224,3,谋士,人类,男,才策谋略，世之奇士。但由于天妒英才早早就离世了。,228,12.8,250,5,10,500,3;7;10;15;3000;107;500,,咳咳……我们需要从长计议。
10225,比尔博巴金斯,10225,,2225,3,游荡者,半身人,男,夏尔最伟大冒险者和勇士，他是中土大陆历史中首位能以自己的意志放弃至尊魔戒的魔戒持有者。,171,12.7,250,5,10,500,3;7;10;15;3000;107;500,,开始冒险吧。
10226,奥村磷,10226,,2226,3,驱魔师,半魔族,男,魔神撒旦和驱魔师所生的儿子，虽然是魔神的儿子，却一直投身于与恶魔的战斗中。,376,12.6,250,5,10,500,3;7;10;15;3000;107;500,,让我们终结那些恶魔。
10227,坂本辰马,10227,20022,2227,3,宇宙商人,人类,男,从小喜欢仰望星空的他对宇宙充满热爱与追求，于是在攘夷战争的后期告别了战友驶向宇宙。,263,12.6,250,5,10,500,3;7;10;15;3000;107;500,,我们的征途是星辰大海。
10228,金三胖,10228,20023,2228,3,政客,人类,男,五岁打飞机，八岁开坦克，父亲拥有徒手击落间谍卫星的强大的能力，传奇的经历伴随着传奇的人生。,209,12.6,250,5,10,500,3;7;10;15;3000;107;500,,我要处死你！
10229,大天使米色尔,10229,,2229,3,大天使,天使,女,守护着卡萨雷多圣地的大天使。,240,12.5,250,5,10,500,3;7;10;15;3000;107;500,,我将永远守护卡萨雷多圣地。
10230,奶茶妹,10230,,2230,3,学生,人类,女,所以，真正奶茶妹，只是一个符号。,94,12.4,250,5,10,500,3;7;10;15;3000;107;500,,呵呵
10231,神乐,10231,,2231,3,流民,夜兔族,女,"明明身为13,14岁的萝莉，却像“退休的警察”一样，经常抠着鼻孔说一些世态炎凉的话。",242,12.1,250,5,10,500,3;7;10;15;3000;107;500,,世风日下，人心不古啊。
10232,特里斯坦,10232,20020,2232,3,骑士,人类,男,圆桌骑士团的成员，一位国王的儿子。平生喜欢音乐和唱歌，被称为“多愁善感的骑士”。,282,12,250,5,10,500,3;7;10;15;3000;107;500,,秋天来了。
10233,柳生十兵卫,10233,,2233,3,剑豪,人类,男,一代大剑豪，柳生新阴流的发明者，所谓无刀取就是传说中的空手入白刃。,282,11.8,250,5,10,500,3;7;10;15;3000;107;500,,也许我们可以切磋一下。
10234,阿鲁克迪斯,10234,,2234,4,生命统帅,半神族,精灵,阿鲁克迪斯，传说中月神遗物的守护者。精灵的最高统领，拥有不灭之体，和永恒之灵。,294,14.3,3000,5,60,6000,1;2;3;4;550;18;108,,我的灵魂永恒不灭。
10235,金龙阿雷撒,10235,20025,2235,4,上龙领主,龙,无,冰封怒龙的统领者，全身被金色的鳞片覆盖是极为罕见的龙类。只有真正的王者才能驾驭。,264,14.3,3000,5,60,6000,1;2;3;4;550;18;108,,诚服于正真的王者。
10236,吉尔伽美什,10236,,2236,4,英雄王,半神族,男,传说中最伟大的王者，从冥界获得了不老不死之药，但是只是为了收藏。,343,14.2,3000,5,30,6000,1;2;3;4;550;18;108,,天上天下只有一人有资格欣赏你的破灭。
10237,觉醒的薰,10237,,2237,4,叛军领袖,超能力者,女,领导超能力者反叛的女性领袖，被其他能力者称为QUEEN。,343,14.2,3000,5,60,6000,1;2;3;4;550;18;108,,那些还末觉醒的人，他们会以不同的形式一再地回来。
10238,坂田银时,10238,20022,2238,4,废柴,人类,男,我的剑，所能触及到的地方就是我的国家。,343,14.2,3000,5,60,6000,1;2;3;4;550;18;108,,只要有你想要保护的东西，那就拔剑好了。
10239,大刑天,10239,,2239,4,战士,魔族,无,被誉为上古十大魔神，干戚之舞，猛志常在。,294,14.2,3000,5,60,6000,1;2;3;4;550;18;108,,常常我的厉害吧，凡人。
10240,圣龙纳多,10240,20025,2240,4,上龙领主,龙,无,疾风怒龙的统领者，在所有龙类中拥有最至高无上的地位。能够使用极为强大的治疗法术。,387,14.2,3000,5,60,6000,1;2;3;4;550;18;108,,感受疾风之力吧。
10241,高杉晋助,10241,20022,2241,4,恐怖份子,人类,男,攘夷志士中的武斗派，成立了鬼兵队，并与幕府一桥派、宇宙海盗春雨等多方组织结盟，以摧毁幕府为目的，经常煽动、策划和制造动乱。,323,14.2,3000,5,5,6000,1;2;3;4;550;18;108,,让着无趣的世界变得更有趣吧。
10242,魔山格雷果,10242,,2242,4,狂战士,人类,男,身形无比巨大，以一把巨大的双手剑作为武器。魔山的可怕之处在于与他为敌的人通常都会被劈成两半。,245,14.2,3000,5,60,6000,1;2;3;4;550;18;108,,杀戮开始了。
10243,戒灵,10243,20026,2243,4,领主,戒灵,虚无,他们曾是大陆上最伟大和强壮的人类，但由于魔戒的诱惑堕落为虚无灵魂，是介于生死之间的可怕生物。,320,14.2,3000,5,60,6000,1;2;3;4;550;18;108,,为了戒灵王。
10244,戒灵王,10244,20026,2244,5,大领主,戒灵,虚无,9戒灵的首领人物，他拥有无法被MAN杀死的特殊能力……最终他死于WOMAN之手。。,643,15.1,6000,5,261,18000,0;0;0;0;34;2;3,,品尝恐惧和绝望的滋味吧。
10245,普京,10245,20023,2245,5,克格勃,人类,男,战斗民族的领袖，全能大帝。,700,14.3,6000,5,0,18000,0;0;0;0;34;2;3,,有人反对吗？反对者在哪呢？
10246,神关羽,10246,20027,2246,5,神战士,人类,男,关云长在身经百战以后得到了升华，战力方面大大提升。拥有能够与众神一战的力量。,600,15.4,6000,5,135,18000,0;0;0;0;34;2;3,,此等小辈，插标卖首尔。
10247,神张飞,10247,20027,2247,5,狂战士,人类,男,进入真正的狂战士状态。著名的军事家，书法家。在战斗方面能够胜过他的只有5人……,750,14.9,6000,5,106,18000,0;0;0;0;34;2;3,,杀啊啊啊啊! 
10248,蜀王刘备,10248,20027,2248,5,大领主,人类,男,自身能力平平却拥有强大的人格魅力，年轻时颠沛流离但最终也成就了一方霸业。,357,15,6000,5,57,18000,0;0;0;0;17;1;1,,"惟贤惟德,仁服于人 。"
10249,亚瑟·戴恩,10249,,2249,5,游侠,人类,男,传说中的剑圣，可以一边用右手尿尿，一边用左手干掉5个敌人。,472,15.5,6000,5,0,18000,0;0;0;0;17;1;1,,信仰黎明之光吧。
10250,盖亚,10250,,2250,5,地母,神族,女,盖亚是大地之母，从伟大的虚无混沌之中诞生。不需要男性的介入，她生下了奥雷诺斯 (天空) 与蓬托斯 (海洋),800,16,6000,5,0,18000,0;0;0;0;0;0;0,,感受大地之力。
10251,魔化吕布,10251,,2251,5,狂战士,人类,男,因为狂怒而失去了理性，堕落为真正的狂战士。同时也拥有了无人可档的力量。,1000,16.3,6000,5,0,18000,0;0;0;0;0;0;0,,谁敢与我大战300回合。
10252,志村新八,10252,20028,2252,1,废柴,人类,男,反射神经差，运动神经差，没有女人缘。特技是吐槽，歌手“寺门通”的铁杆粉丝。认真起来的话，剑技会大幅爆发。,149,8.6,15,4,0,0,110;210;255;300;0;0;0,,真正重要的东西，总是没有的人比拥有的人清楚。
10253,志村妙,10253,20028,2253,1,陪酒女,人类,女,拿手的菜是鸡蛋烧，武器是鸡蛋烧。只要是在锅里煎过的鸡蛋，不管变成什么样子都是煎鸡蛋哦！,170,10.7,15,4,0,0,110;210;255;300;0;0;0,,真正重要的东西，总是没有的人比拥有的人清楚。
10254,艾锐尔米亚,10254,20015,2254,2,贤者,元素生物,虚无,米亚家族的小儿子能够操控光明之息，是光明之界的王者，同时也是光之族的偏神。,200,9.7,50,5,20,100,17;50;70;90;8300;462;0,,光明赐予我力量。
10255,小乔,10255,20018,2255,2,乐师,人类,女,小乔国色流离，资貌绝伦。后嫁与才俊周公瑾，谓英雄美女，天作之合。,208,12.2,50,5,20,100,17;50;70;90;8300;462;0,,失礼了。
10256,托尔,10256,20016,2256,3,战士,永恒,男,使用锥子做为武器的肌肉男，能够引导闪电的力量。,106,13.2,250,5,10,500,3;7;10;15;3000;107;500,,闪电将听从我的召唤。
10257,黑龙奥萨拉,10257,20025,2257,3,龙,龙,无,火山怒龙的统领者。周身布满纯黑色的美丽鳞片。,394,11.8,250,5,10,500,3;7;10;15;3000;107;500,,让火焰净化一切。
10258,真·亚瑟,10258,20017,2258,4,大领主,人类,男,圆桌骑士团的首领，据说他持有一把圣剑，能够驱逐以太潮汐带来的影响。,315,14.2,3000,5,60,6000,1;2;3;4;550;18;108,,信仰圣光吧。
16201,黑铁魔像,40001;40002,,3005,4,-,-,-,挖矿出现的boss,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
16202,狩猎团,0,,3001,4,-,-,-,挖矿出现的boss,10,10,0,5,0,0,0;0;0;0;0;0;0,,
16203,深红之王,40003;40004,,3006,4,-,-,-,挖矿出现的boss,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
16204,琉璃之王,40005;40006,,3004,4,-,-,-,挖矿出现的boss,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
16205,光之王,40007;40008,,3002,4,-,-,-,挖矿出现的boss,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
16206,影之王,40009;40010,,3003,4,-,-,-,挖矿出现的boss,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51001,魔化村民,10015,,1061,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51002,贝拉,10015,,1072,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51004,穴居恶魔,10035,,1096,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51005,森林座狼,10095,,1047,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51044,怪物39,10063,,1056,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51007,怪物2,10050,,1007,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51033,怪物28,10035,,1042,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51035,怪物30,10013,,1044,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51036,怪物31,10013,,1045,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51039,怪物34,10050,,1049,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51042,怪物37,10063,,1054,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51045,怪物40,10015,,1057,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51046,怪物41,10035,,1058,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51047,怪物42,10092,,1059,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51048,怪物43,10092,,1060,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51049,怪物44,10093,,1062,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51050,怪物45,10060,,1063,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51055,怪物50,30006,,1068,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51056,怪物51,30006,,1069,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51058,怪物53,30006,,1071,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51059,怪物54,10092,,1074,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51060,怪物55,30006,,1075,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51061,怪物56,10086,,1076,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51062,怪物57,10037,,1077,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51064,怪物59,10063,,1079,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51066,怪物61,10087,,1081,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51067,怪物62,10091,,1083,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51068,怪物63,10101,,1084,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51069,怪物64,10087,,1085,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51070,怪物65,10091,,1087,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51071,怪物66,10101,,1088,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51072,怪物67,10092,,1089,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51073,怪物68,10087,,1090,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51074,怪物69,10082,,1091,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51075,怪物70,10086,,1092,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51076,怪物71,10015,,1093,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51077,怪物72,30006,,1094,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51129,怪物124,10096,,1167,0,-,-,-,关卡副本敌人,10,10,0,5,0,0,0;0;0;0;0;0;0,出战,
51131,怪物路西法,10054;10054;10054;10054;10054,,2014,5,-,-,-,关卡副本敌人,10,10,0,13,0,0,0;0;0;0;0;0;0,出战,
18001,BOSS1,10077,,3101,5,-,-,-,关卡副本敌人,10,10,0,6,0,0,0;0;0;0;0;0;0,出战,
18002,BOSS2,40001,,3102,5,-,-,-,关卡副本敌人,10,10,0,7,0,0,0;0;0;0;0;0;0,出战,
18003,BOSS3,40002,,3103,5,-,-,-,关卡副本敌人,10,10,0,8,0,0,0;0;0;0;0;0;0,,
18004,BOSS4,40001;40002,,3104,5,-,-,-,关卡副本敌人,10,10,0,9,0,0,0;0;0;0;0;0;0,出战,
18005,BOSS5,40001;40002,,3105,5,-,-,-,关卡副本敌人,10,10,0,10,0,0,0;0;0;0;0;0;0,出战,
18006,BOSS6,40007,,3106,5,-,-,-,关卡副本敌人,10,10,0,11,0,0,0;0;0;0;0;0;0,出战,
18007,BOSS7,40001;40002,,3107,5,-,-,-,关卡副本敌人,10,10,0,12,0,0,0;0;0;0;0;0;0,,
18008,BOSS8,40001;40006,,3108,5,-,-,-,关卡副本敌人,10,10,0,13,0,0,0;0;0;0;0;0;0,出战,
